0,0.1135
1,0.1135
2,0.1145
3,0.1327
4,0.2066
5,0.3074
6,0.3874
7,0.4594
8,0.5032
9,0.5414
10,0.5737
11,0.5954
12,0.6136
13,0.6305
14,0.6453
15,0.6555
16,0.6669
17,0.6776
18,0.6857
19,0.6954
20,0.7038
21,0.7114
22,0.7177
23,0.724
24,0.7285
25,0.7329
26,0.7361
27,0.7418
28,0.7446
29,0.749
30,0.7525
31,0.7558
32,0.7587
33,0.7618
34,0.764
35,0.767
36,0.7674
37,0.7697
38,0.7712
39,0.7742
40,0.7758
41,0.7777
42,0.7793
43,0.7807
44,0.7825
45,0.7838
46,0.7847
47,0.7855
48,0.7867
49,0.7875
50,0.7893
51,0.7904
52,0.7918
53,0.7928
54,0.7935
55,0.795
56,0.7955
57,0.7968
58,0.7969
59,0.7976
60,0.7986
61,0.7992
62,0.8004
63,0.8017
64,0.8031
65,0.8036
66,0.8044
67,0.8056
68,0.8065
69,0.8079
70,0.8093
71,0.81
72,0.8104
73,0.8113
74,0.8118
75,0.8132
76,0.8148
77,0.8158
78,0.8172
79,0.818
