0,0.2151
1,0.4975
2,0.6051
3,0.6524
4,0.6858
5,0.7186
6,0.7431
7,0.7581
8,0.7732
9,0.7843
10,0.7907
11,0.7983
12,0.8032
13,0.809
14,0.8153
15,0.8197
16,0.8245
17,0.8292
18,0.8335
19,0.8374
20,0.8397
21,0.842
22,0.8435
23,0.8454
24,0.8466
25,0.8475
26,0.8481
27,0.8485
28,0.8478
29,0.8483
30,0.8486
31,0.849
32,0.8485
33,0.8491
34,0.8488
35,0.8475
36,0.8474
37,0.8469
38,0.8467
39,0.846
40,0.8448
41,0.8437
42,0.8424
43,0.8411
44,0.8407
45,0.8402
46,0.8397
47,0.8394
48,0.839
49,0.8384
50,0.8379
51,0.8377
52,0.837
53,0.8365
54,0.836
55,0.8357
56,0.8346
57,0.834
58,0.8332
59,0.8322
60,0.8313
61,0.8305
62,0.8298
63,0.8294
64,0.8289
65,0.8285
66,0.8279
67,0.8272
68,0.8273
69,0.8269
70,0.8264
71,0.826
72,0.8251
73,0.8249
74,0.8247
75,0.8246
76,0.8245
77,0.8244
78,0.8244
79,0.8246
